start_date;end_date;created_on;lat;lon;l1;l2;l3;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;title;description;property_type;operation_type
17/10/2019;23/12/2019;17/10/2019;-34.6058798;-58.3849491;Argentina;Capital Federal;San Cristobal;7;7;2;140;140;153000;USD;***Venta semipiso centro, ideal hostel*****;DESCRIPCION DE LA PROPIEDAD: Departamento de 140,65 metros cubiertos según escritura. Segundo piso por escalera. Dormitorios siete  / ;Departamento;Venta
17/10/2019;21/11/2019;17/10/2019;-34.6240556;-58.4121102;Argentina;Capital Federal;Boedo;2;1;2;70;58;159000;USD;Espectacular PH reciclado en Boedo sin expensas.; PH reciclado en Boedo a una cuadra de la plaza sin expensas, solo 4 propietarios en el edificio en muy buen estado.58 m2 cubiertos + 12 m2 de patioabajo: living comedor doble altura patio, toilette, cocina y lavaderoarriba: dormitorio con buen placard y baño completo.Impecable. Luz, sol y verde.Claudia Mascitti CMCPSI 6019;PH;Venta
17/10/2019;1/11/2019;17/10/2019;-34.593569;-58.427474;Argentina;Capital Federal;Palermo;2;1;1;45;45;125000;USD;Depto.tipo casa de 2 ambientes en Venta en Palermo;2 ambienets amplio , excelente estado , patio  , cocina comedor . 45 mts. Migliorisi VE - Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad.;PH;Venta
17/10/2019;23/12/2019;17/10/2019;-34.5812941;-58.4367541;Argentina;Capital Federal;Palermo;2;1;1;85;50;295000;USD;COSTA RICA 5800 / PALERMO HOLLYWOOD / VENTA PH 2 AMBIENTES;HERMOSO PH EN PALERMO!!!2 AMBIENTES TOTALMENTE RECICLADOS!!!LIVING/COMEDOR AL CONTRAFRENTE CON SALIDA A PATIO CON ADOQUINES Y PALMERA-DORMITORIO CON BALCON-COCINA Y BAÑO-TERRAZA//SUPER LUMINOSO Y CON EXCELENTE VENTILACION!!!ESTA UBICADO EN PLANTA BAJA, ES EL DEPTO DEL MEDIO POR PASILLOEXCELENTE UBICACION, DONDE NO SE PERMITEN LA CONSTRUCCION DE EDIFICIOS, POR LO QUE SE GARANTIZA EL AIRE Y EL SOL.APTO PROFESIONALNO PAGA EXPENSAS!!!Sup.Total: 85 MtsSup.Cub: 50 MtsSup.desc: 35 MtsSe deja constancia que las medidas (tanto totales como parciales), superficies, m2 y proporciones indicadas en el presente son aproximadas y sujetas a verificación, variación y/o ajuste. Las expensas pueden sufrir variaciones.;PH;Venta
17/10/2019;11/3/2020;17/10/2019;-34.91419373;-57.93821914;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;2;1;1;50;35;40000;USD;58 entre 1 y 2  Venta de departamento en ph.1 Dormitorio , La Plata;58 entre 1 y 2  Venta de departamento en PH. Primer piso por escaleras. Living comedor, cocina integrada, 1 dormitorio , baño con ducha, terraza de 15 metros, tipo de calefacción por tiro balanceado, ventilación cruzada, zona de facultades. SIN EXPENSAS;PH;Venta
17/10/2019;1/11/2019;17/10/2019;-34.59377906;-58.44123888;Argentina;Capital Federal;Villa Crespo;2;1;1;56;56;150000;USD;Depto.tipo casa de 2 ambientes en Venta en Villa crespo;Excelente ph solo 2 unidades, no paga expensas,  muy buena distribución ambientes amplios cuenta con terraza amplia de uso comun, cercano a todo medio de transporte a media cuadra del metro bus y cercano a estacion malabia.Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad.;PH;Venta
17/10/2019;31/10/2019;17/10/2019;-34.60098811;-58.43306148;Argentina;Capital Federal;Villa Crespo;2;1;1;70;70;159500;USD;Depto.tipo casa de 2 ambientes en Venta en Villa crespo;Muy lindo PH, con terraza propia, 96m2! por escalera, en muy buen estado general, en la terraza se puede construir una parrilla, tiene un espacio para multiple uso, con piso de parquet, baño completo con bañera, estufa hogar, 1 aire f/c, Apto profesional. Buena ubicacion a una cuadra subte B (A. Gallardo) - Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad. COMERCIALIZA INMOBILIARIA MIGLIORISI - AV. CORRIENTES 4599 - T.E.: 11-52734599 / 11-52721892;PH;Venta
17/10/2019;31/10/2019;17/10/2019;-34.60098811;-58.43306148;Argentina;Capital Federal;Villa Crespo;2;1;1;70;70;159500;USD;Depto.tipo casa de 2 ambientes en Venta en Villa crespo;Muy lindo PH, con terraza propia, 96m2! por escalera, en muy buen estado general, en la terraza se puede construir una parrilla, tiene un espacio para multiple uso, con piso de parquet, baño completo con bañera, estufa hogar, 1 aire f/c, Apto profesional. Buena ubicacion a una cuadra subte B (A. Gallardo) - Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad. COMERCIALIZA INMOBILIARIA MIGLIORISI - AV. CORRIENTES 4599 - T.E.: 11-52734599 / 11-52721892;PH;Venta
17/10/2019;23/12/2019;17/10/2019;-34.6395984;-58.4196118;Argentina;Capital Federal;Parque Patricios;1;1;1;45;37;89000;USD;PH SIN EXPENSAS, AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO EN PARQUE PATRICIOS;"VENTA DE PH, EN EXCELENTE ESTADO, EN PARQUE PATRICIOS /   AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO/PH DE DOS PLANTAS, CON SOLO 3 UF EN TOTAL / AVENIDA CASEROS AL 3900, ENTRE JOSE MÁRMOL Y 33 ORIENTALES //PISO: PB, AL CONTRAFRENTE //PRECIO DE VENTA: U$S 89.000 //SIN EXPENSAS / FONDO DE RESERVA DE: $600 PARA CUBRIR GASTOS /SUPERFICIE TOTAL: 45,40 M2 //SUPERFICIE CUBIERTA: 36,70 M2 + PATIO: 8,70 M2 /DORMITORIO-LIVING COMEDOR CON AMPLIOS PLACARDS /COCINA /BAÑO COMPLETO /PATIO CON CONEXIÓN PARA LAVARROPAS /ESTUFA TIRO BALANCEADO / CALEFON /MUY BUENA UBICACIÓN, MUY CERCANO DE AVDA. LA PLATA Y AVDA. BOEDO, CERCANO A NUEVA SEDE DE LA JEFATURA DE GOBIERNO DE LA CIUDAD DE BUENOS AIRES Y AL PARQUE DE LOS PATRICIOS. MÚLTIPLES MEDIOS DE TRANSPORTE, INCLUIDO DIVERSIDAD DE COLECTIVOS Y EL SUBTE LINEA ""H"" (ESTACIÓN HOSPITALES). //  ";PH;Venta
17/10/2019;23/12/2019;17/10/2019;-34.6395984;-58.4196118;Argentina;Capital Federal;Parque Patricios;1;1;1;45;37;89000;USD;PH SIN EXPENSAS, AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO EN PARQUE PATRICIOS;"VENTA DE PH, EN EXCELENTE ESTADO, EN PARQUE PATRICIOS /   AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO/PH DE DOS PLANTAS, CON SOLO 3 UF EN TOTAL / AVENIDA CASEROS AL 3900, ENTRE JOSE MÁRMOL Y 33 ORIENTALES //PISO: PB, AL CONTRAFRENTE //PRECIO DE VENTA: U$S 89.000 //SIN EXPENSAS / FONDO DE RESERVA DE: $600 PARA CUBRIR GASTOS /SUPERFICIE TOTAL: 45,40 M2 //SUPERFICIE CUBIERTA: 36,70 M2 + PATIO: 8,70 M2 /DORMITORIO-LIVING COMEDOR CON AMPLIOS PLACARDS /COCINA /BAÑO COMPLETO /PATIO CON CONEXIÓN PARA LAVARROPAS /ESTUFA TIRO BALANCEADO / CALEFON /MUY BUENA UBICACIÓN, MUY CERCANO DE AVDA. LA PLATA Y AVDA. BOEDO, CERCANO A NUEVA SEDE DE LA JEFATURA DE GOBIERNO DE LA CIUDAD DE BUENOS AIRES Y AL PARQUE DE LOS PATRICIOS. MÚLTIPLES MEDIOS DE TRANSPORTE, INCLUIDO DIVERSIDAD DE COLECTIVOS Y EL SUBTE LINEA ""H"" (ESTACIÓN HOSPITALES). //  ";PH;Venta
